year,sla_mean_m,sla_prev_year,slr_m,slr_mm
2025,0.2092,0.08447174785255222,0.1248,124.77
2026,0.2114,0.20923957662410864,0.0022,2.19
2027,0.2174,0.21143010861127687,0.006,5.95
2028,0.223,0.21738174210214015,0.0056,5.62
2029,0.2286,0.2230028072432899,0.0056,5.63
2030,0.2343,0.22863024611501295,0.0056,5.63
2031,0.2399,0.2342645811507645,0.0056,5.63
2032,0.2455,0.2398964756478622,0.0056,5.63
2033,0.2512,0.24552898491398978,0.0056,5.63
2034,0.2568,0.25116135845327286,0.0056,5.63
2035,0.2624,0.2567937598919328,0.0056,5.63
2036,0.2681,0.26242615585026247,0.0056,5.63
2037,0.2737,0.26805855285142255,0.0056,5.63
2038,0.2793,0.2736909496588105,0.0056,5.63
2039,0.285,0.27932334650153734,0.0056,5.63
2040,0.2906,0.2849557433379169,0.0056,5.63
2041,0.2962,0.29058814017542184,0.0056,5.63
2042,0.3019,0.29622053701272955,0.0056,5.63
2043,0.3075,0.3018529338500715,0.0056,5.63
2044,0.3131,0.3074853306874075,0.0056,5.63
2045,0.3188,0.3131177275247446,0.0056,5.63
2046,0.3244,0.31875012436208144,0.0056,5.63
2047,0.33,0.3243825211994183,0.0056,5.63
2048,0.3356,0.3300149180367552,0.0056,5.63
2049,0.3413,0.3356473148740921,0.0056,5.63
2050,0.3469,0.341279711711429,0.0056,5.63
